"","subID","gender","age","handedness","english","compType","VisualWM","rtUnder500","rtOver10000","DigitSpan","reloaded","Vocabulary","DigitSymbolCoding"
"2310","36-16434","F",63,"right",1,"desktop",36,0,0,8,1,18,36
"2311","36-16437","F",50,"left",1,"desktop",40,0,0,5,1,18,37
"2312","36-16438","F",57,"right",1,"laptop",40,0,0,8,1,17,39
"2313","36-16441","M",20,"right",0,"desktop",36,0,0,6,1,4,46
"2314","36-16442","F",57,"right",1,"desktop",31,0,0,8,1,19,60
"2315","36-16445","F",37,"right",1,"laptop",27,0,0,7,1,18,44
"2316","36-16449","F",36,"right",1,"laptop",31,0,0,7,1,18,47
"2317","36-16451","F",53,"right",1,"desktop",32,0,0,9,1,17,57
"2318","36-16453","F",21,"right",1,"laptop",33,0,0,6,1,10,54
"2319","36-16454","F",48,"right",1,"laptop",38,0,0,8,1,16,66
"2320","36-16455","F",47,"right",1,"desktop",35,1,0,5,1,14,44
"2321","36-16459","F",55,"right",1,"laptop",40,0,0,1,1,18,63
"2322","36-16464","F",58,"right",1,"laptop",36,0,0,10,1,18,26
"2323","36-16466","F",55,"left",1,"laptop",32,0,0,7,1,18,56
"2324","36-16468","F",49,"right",1,"laptop",37,0,0,5,1,17,41
"2325","36-16469","M",17,"right",1,"desktop",38,0,0,5,1,12,47
"2326","36-16475","F",19,"right",0,"laptop",33,0,0,8,1,9,42
"2327","36-1648","F",54,"right",1,"desktop",34,0,0,5,1,18,40
"2328","36-16480","F",49,"left",1,"laptop",35,0,0,5,1,15,35
"2329","36-16483","F",48,"right",1,"desktop",36,0,0,4,1,14,51
"2330","36-16485","F",67,"right",1,"laptop",36,0,0,8,1,20,37
"2331","36-16486","F",15,"right",1,"laptop",37,0,0,10,1,13,52
"2332","36-16487","F",49,"right",1,"laptop",25,0,0,5,1,15,42
"2333","36-16491","F",15,"right",1,"desktop",33,0,0,8,1,8,64
"2334","36-16493","M",42,"left",1,"desktop",32,0,0,5,1,15,41
"2335","36-16494","F",52,"right",1,"laptop",31,0,0,7,1,14,38
"2336","36-16496","F",22,"right",1,"desktop",24,0,0,9,1,10,42
"2337","36-165","F",19,"right",1,"desktop",37,0,0,6,1,16,38
"2338","36-1650","F",16,"right",1,"desktop",36,0,0,6,1,9,42
"2339","36-16501","F",41,"right",1,"desktop",30,0,0,7,1,15,41
"2340","36-16503","F",42,"right",1,"desktop",38,0,0,7,1,18,57
"2341","36-16505","F",39,"right",1,"laptop",40,0,0,7,1,15,50
"2342","36-16507","M",22,"right",1,"desktop",35,0,0,7,1,10,61
"2343","36-16510","F",67,"right",1,"laptop",38,0,0,7,1,18,40
"2344","36-16514","M",59,"right",1,"laptop",31,0,0,6,1,16,41
"2345","36-16517","F",51,"right",1,"laptop",36,0,0,8,1,19,46
"2346","36-16526","F",19,"right",1,"laptop",40,0,0,7,1,10,56
"2347","36-16527","M",30,"right",1,"desktop",36,0,0,4,1,11,40
"2348","36-16528","M",20,"right",0,"laptop",37,0,0,7,1,12,55
"2349","36-16529","F",55,"right",1,"desktop",31,0,1,4,1,11,51
"2350","36-16530","F",52,"right",1,"desktop",37,0,0,6,1,16,33
"2351","36-16531","F",34,"right",1,"laptop",31,0,0,6,1,17,69
"2352","36-16534","F",31,"left",1,"laptop",40,0,0,6,1,14,58
"2353","36-16535","F",60,"right",1,"desktop",30,0,0,7,1,17,38
"2354","36-16538","M",25,"left",1,"desktop",35,0,0,9,1,16,58
"2355","36-16539","M",71,"right",1,"laptop",28,0,0,5,1,18,28
"2356","36-1654","F",16,"right",1,"desktop",27,0,0,5,1,14,54
"2357","36-16540","F",59,"right",1,"desktop",39,0,0,3,1,18,37
"2358","36-16543","F",24,"right",1,"laptop",32,0,0,7,1,12,52
"2359","36-16544","F",11,"right",1,"desktop",31,0,0,5,1,9,38
"2360","36-16547","F",41,"left",1,"laptop",28,0,0,8,1,14,50
"2361","36-16553","F",46,"right",1,"laptop",31,0,0,6,1,11,38
"2362","36-16557","F",43,"right",1,"laptop",35,0,0,6,1,18,45
"2363","36-16558","F",33,"right",1,"desktop",31,0,0,6,1,12,38
"2364","36-16559","F",47,"right",1,"laptop",35,0,0,5,1,13,40
"2365","36-16563","F",28,"right",1,"laptop",30,0,0,6,1,13,44
"2366","36-16565","F",42,"right",0,"laptop",30,0,0,5,1,7,41
"2367","36-16573","F",28,"right",1,"laptop",35,0,0,7,1,14,47
"2368","36-16576","F",61,"right",1,"desktop",33,0,0,7,1,19,38
"2369","36-16577","F",33,"right",1,"desktop",31,0,0,7,1,12,33
"2370","36-16578","F",47,"right",1,"desktop",34,0,0,6,1,16,52
"2371","36-16579","F",50,"right",1,"desktop",32,0,0,7,1,16,43
"2372","36-16580","F",22,"right",1,"laptop",35,0,0,7,1,16,56
"2373","36-16585","F",59,"right",1,"desktop",30,0,0,8,1,20,36
"2374","36-1659","F",15,"left",0,"desktop",36,0,0,4,1,9,35
"2375","36-16593","F",38,"right",1,"desktop",35,0,0,9,1,17,55
"2376","36-16594","F",17,"right",0,"laptop",20,1,0,6,1,10,46
"2377","36-166","M",25,"right",0,"desktop",37,0,0,6,1,9,30
"2378","36-16605","F",64,"right",1,"laptop",31,0,0,6,1,16,35
"2379","36-16606","F",18,"right",1,"laptop",39,0,0,5,1,13,56
"2380","36-16608","F",50,"right",1,"laptop",34,0,0,8,1,19,42
"2381","36-16614","F",41,"right",1,"laptop",37,0,0,8,1,18,75
"2382","36-16618","M",12,"right",1,"laptop",22,41,0,2,1,12,42
"2383","36-16619","F",63,"right",1,"laptop",39,0,0,6,1,17,39
"2384","36-16621","F",38,"left",1,"laptop",32,0,0,7,1,18,44
"2385","36-16634","F",37,"right",1,"desktop",35,0,0,6,1,13,53
"2386","36-16636","F",25,"right",0,"desktop",38,0,0,6,1,4,45
"2387","36-16638","F",40,"left",1,"laptop",33,0,0,4,1,15,46
"2388","36-16641","F",23,"right",0,"desktop",37,0,1,6,1,4,41
"2389","36-16649","F",69,"right",1,"laptop",29,0,0,5,1,13,33
"2390","36-16650","F",14,"right",1,"desktop",32,0,0,7,1,12,67
"2391","36-16653","M",24,"right",0,"laptop",25,0,0,7,1,7,38
"2392","36-16654","F",38,"left",1,"desktop",26,0,0,7,1,18,38
"2393","36-16656","M",26,"right",1,"desktop",40,0,0,6,1,13,48
"2394","36-16658","M",49,"right",1,"laptop",34,0,0,5,1,17,36
"2395","36-1666","F",15,"left",1,"laptop",27,0,0,5,1,8,33
"2396","36-16660","F",55,"left",1,"laptop",32,0,0,8,1,16,37
"2397","36-16661","F",44,"right",1,"desktop",32,0,0,4,1,16,38
"2398","36-16664","F",46,"left",0,"laptop",35,0,0,4,1,5,49
"2399","36-16667","F",47,"right",1,"desktop",36,0,0,7,1,18,40
"2400","36-16668","M",21,"right",1,"desktop",38,0,0,7,1,5,52
"2401","36-16672","M",21,"right",0,"desktop",38,0,0,9,1,13,48
"2402","36-16675","F",62,"right",1,"desktop",39,0,0,6,1,16,47
"2403","36-16676","F",17,"right",0,"desktop",37,0,0,7,1,13,51
"2404","36-16684","F",56,"right",1,"desktop",36,0,0,7,1,14,32
"2405","36-16693","F",55,"right",1,"laptop",26,9,0,7,1,14,47
"2406","36-16695","F",58,"right",1,"desktop",34,0,0,6,1,16,44
"2407","36-16700","M",19,"right",0,"desktop",37,0,0,6,1,9,52
"2408","36-16701","M",25,"right",0,"desktop",36,0,0,9,1,14,54
"2409","36-16703","M",22,"right",1,"desktop",40,0,0,8,1,15,52
"2410","36-16705","M",32,"right",0,"laptop",33,0,0,8,1,6,44
